id,level,category,title,hook,main_point,cta,source_url
P001,1,一人事業,一人公司不是一個人硬撐,很多人誤會一人公司就是什麼都自己做,一人事業比較像個人媒體加信任系統加產品入口,如果你只能選一個主題公開分享你會選什麼,https://thedankoe.com/
P002,1,能力公開化,不要急著變現先讓能力被看見,很多副業做不起來不是能力不夠而是沒有人知道你會,把解決問題的過程公開留下來就會變成作品集,今天寫一篇我最近解決的一個問題,https://thedankoe.com/letters/
P003,1,寫作,寫作不是文青技能是商業技能,寫作不是文筆很好而是讓別人看懂你的價值,寫作是把混亂想法變成清楚價值的底層能力,你最常被問的問題就是第一篇內容,https://2hourwriter.com/
P004,2,定位,不要只找利基市場要建立觀點,做內容最難的不是選題而是你到底相信什麼,人們追蹤你不是因為資訊而是因為你的判斷和觀點,寫下在我的領域我最反對的一件事,https://thedankoe.com/letters/you-dont-need-a-niche-you-need-a-point-of-view/
P005,2,內容系統,內容不是每天想梗是建立系統,每天硬想貼文通常撐不久,先做完整主內容再拆成多平台短內容,先寫一篇你真的懂的長文,https://letters.thedankoe.com/p/how-to-build-a-world-the-2-hour-content
P006,2,產品化,你的產品可能藏在你解決過的問題裡,產品不一定從市場調查開始也可以從你的痛苦開始,把自己從 A 到 B 的路徑整理成可購買的解法,你的 A 到 B 是什麼,https://thedankoe.com/letters/the-future-of-the-creator-economy-my-bold-prediction/
P007,2,上班族副業,一人事業不是先辭職而是先累積可攜帶資產,不要把一人事業想成離職宣言,公開內容觀點案例流程名單作品集都會跟著你走,把工作裡的學習轉成不洩密公開筆記,https://thedankoe.com/wp-content/uploads/2025/03/Purpose-Profit-2.pdf
P008,3,AI,AI 不會救沒有主題的人,AI 很強但它不會自動給你人生方向,AI 是放大器不是方向盤,先寫清楚你的主題再打開 AI,https://thedankoe.com/letters/agi-will-make-you-irrelevant-how-to-future-proof-yourself/
P009,1,信任,你不需要成為網紅你需要成為值得信任的人,流量不是個人品牌的全部,被對的人記住比被所有人看見更重要,少想一點流量多想一點誰需要相信你,https://thedankoe.com/
P010,2,作品集,你的內容應該像作品集不是像日記,不是每篇貼文都要賣東西但都應該累積定位,內容要讓人看出你關心什麼擅長什麼相信什麼,回去看最近 10 篇貼文別人看得出定位嗎,https://letters.thedankoe.com/p/how-to-build-a-world-the-2-hour-content
P011,1,起步,先從我正在學什麼開始,不知道要發什麼的人可以先從學習紀錄開始,從 consumer 變成 creator 的第一步是整理自己的理解,把剛學會的東西用 5 句話寫出來,https://thedankoe.com/wp-content/uploads/2025/03/Purpose-Profit-2.pdf
P012,2,觀點,觀點要尖但人不用討厭,有觀點不等於到處開戰,觀點的重點是清楚知道自己支持和反對什麼,寫一篇我不同意大家常說的某件事,https://thedankoe.com/letters/you-dont-need-a-niche-you-need-a-point-of-view/
P013,2,信任複利,一人事業的底層其實是信任複利,你今天的內容不一定今天變現,內容應該長期累積信任觀點和產品入口,不要問會不會爆問有沒有累積信任,https://2hourwriter.com/
P014,3,商業路徑,不要只做內容要做內容到產品的路徑,只發內容不設計下一步容易變成免費知識輸出機,內容吸引人觀點建立信任產品提供下一步,選一個常發主題寫出它可以連到的產品,https://thedankoe.com/letters/the-future-of-the-creator-economy-my-bold-prediction/
P015,3,系統思維,把自己當成一套系統來經營,一人公司不是身份而是一套系統,學習寫作內容信任產品 AI 都是需要累積的系統,你現在最缺的是哪一個系統,https://thedankoe.com/
