id,source_type,title,url,owner,summary,tags,reliability,captured_at,notes
S001,official,Dan Koe official homepage,https://thedankoe.com/,Dan Koe,"Main positioning: author of The Art of Focus, co-founder of Eden, writer on mind/internet/future. Shows newsletter and product ecosystem.","profile;homepage;positioning",official,2026-04-27,"Reader count appears inconsistent across page sections; treat as snapshot."
S002,official,Koe Letters archive,https://thedankoe.com/letters/,Dan Koe,"Official blog/letter archive for human potential, lifestyle design, digital business.","newsletter;blog;archive",official,2026-04-27,"Use as primary source for public essays."
S003,official,future/proof About,https://letters.thedankoe.com/about,Dan Koe,"Substack mirror of weekly Koe Letter; tagline: stay relevant.","substack;newsletter",official,2026-04-27,"Good canonical page for current Substack positioning."
S004,official,future/proof Writing Strategies,https://letters.thedankoe.com/t/writing-strategies,Dan Koe,"Topic page with long-form writing, content map, one-person business launchpad, short-form drills, content ecosystem.","writing;content;substack",official,2026-04-27,"Some articles are paid; keep only public metadata unless subscribed."
S005,official,future/proof Marketing Strategies,https://letters.thedankoe.com/t/marketing-strategies,Dan Koe,"Topic page with product launch, landing pages, digital product, one-person business launchpad.","marketing;digital-product;launch",official,2026-04-27,"Use for productization topic map."
S006,official,The Art of Focus,https://theartoffocusbook.com/,Koe Enterprises,"Book page for The Art of Focus: focus, meaning, reinvention, ideal future, one-person business philosophy.","book;focus;life-design",official,2026-04-27,"Page includes older Carrd/template fragments; use main book sections only."
S007,official,Purpose & Profit PDF,https://thedankoe.com/wp-content/uploads/2025/03/Purpose-Profit-2.pdf,KOE Press,"Free official PDF; chapters include jobs, entrepreneurship, deep generalism, life work, value creation, self-monetization, creator.","book;purpose;profit;creator-economy",official,2026-04-27,"Do not reproduce long excerpts; use summaries and personal notes."
S008,official,2 Hour Writer,https://2hourwriter.com/,Koe Enterprises,"Course page for digital writing and 2 Hour Content Ecosystem; includes public description of repurposing newsletter into social/video/podcast.","course;writing;content-system",self_reported,2026-04-27,"Sales claims and student counts are self-reported."
S009,official,Modern Mastery HQ,https://www.modernmastery.co/,Modern Mastery,"Official page says community is closed and prior content moved to Kortex Premium; historic focus on one-person business growth.","community;course;one-person-business",official,2026-04-27,"Useful for historical offer architecture."
S010,official,Kortex homepage,https://www.kortex.co/,Kortex Enterprises LLC,"Kortex is becoming Eden; describes AI second brain, writing, capture, AI workflows.","software;kortex;eden",official,2026-04-27,"Use current page because product is changing."
S011,official,Kortex to Eden migration,https://www.kortex.co/blog/kortex-to-eden-everything-you-need-to-know,Kortex,"Explains Eden rollout, core features, subscription handling, and why Kortex pivoted.","software;pivot;eden",official,2026-04-27,"Important for current product status."
S012,official,Kortex team,https://www.kortex.co/team,Kortex,"Lists Dan Koe as Co-Founder & CEO, Matthew Ao as Co-Founder & CPO, plus CTO/design/engineering/support team.","team;company;verification",official,2026-04-27,"Key correction to the idea that every asset is a one-person company."
S013,official,Eden homepage,https://eden.so/,Eden,"AI creative partner with agents, capture, workspace, canvas, search, content planning, automation.","software;ai;creator-tools",official,2026-04-27,"Current product positioning as of capture date."
S014,official,Future-Proof Skill Stack,https://thedankoe.com/letters/the-future-proof-skill-stack-learn-in-this-order/,Dan Koe,"Framework for future-proof work: entrepreneurship, marketing/sales, writing/thinking, technical know-how, personal interests.","framework;skills;future-of-work",official,2026-04-27,"High-priority essay for database."
S015,official,Future of the Creator Economy,https://thedankoe.com/letters/the-future-of-the-creator-economy-my-bold-prediction/,Dan Koe,"Discusses creator economy and productization through desirable goal, starting point, unique path, holistic solution.","creator-economy;offer;productization",official,2026-04-27,"Useful for offer design."
S016,official,AGI Will Make You Irrelevant,https://thedankoe.com/letters/agi-will-make-you-irrelevant-how-to-future-proof-yourself/,Dan Koe,"Frames AI as a tool that needs human agency and goal-setting; argues for human creativity and future-proofing.","ai;agency;future-proof",official,2026-04-27,"Use as AI philosophy source."
S017,official,Point of View Over Niche,https://thedankoe.com/letters/you-dont-need-a-niche-you-need-a-point-of-view/,Dan Koe,"Argues creators need a point of view rather than a narrow niche; identity, goals, values, and interests create differentiation.","positioning;personal-brand;content",official,2026-04-27,"Strong source for brand positioning."
S018,official,2-Hour Content Ecosystem public preview,https://letters.thedankoe.com/p/how-to-build-a-world-the-2-hour-content,Dan Koe,"Public preview of paid Substack post: turn one high-quality writing piece into posts for all platforms; build a body of work.","content-system;repurposing;body-of-work",official,2026-04-27,"Do not reproduce paid material."
S019,platform,The Koe Cast on Apple Podcasts,https://podcasts.apple.com/us/podcast/the-koe-cast/id1566479559,Apple Podcasts / Dan Koe,"Podcast page shows topic positioning around creative work, human behavior, mental philosophy; platform metadata includes episodes and ratings.","podcast;platform",platform,2026-04-27,"Platform metadata can drift."
S020,platform,Dan Koe YouTube channel,https://youtube.com/c/DanKoeTalks,YouTube / Dan Koe,"Official YouTube channel linked from Dan Koe homepage.","youtube;video;platform",platform,2026-04-27,"Use platform directly for latest video list."
S021,third_party,Social Blade Dan Koe YouTube snapshot,https://socialblade.com/youtube/handle/dankoetalks/achievements,Social Blade,"Third-party snapshot shows approximate YouTube subscribers, views, and videos.","youtube;metrics;third-party",third_party,2026-04-27,"Use only as approximate audience scale, not authoritative."

